elapsed_wall_seconds,x,y,z,roll,pitch,yaw,cmd_vel_publishers,joint_state_messages,rgb_messages
19.002518,3.100000199412105,4.578546479752625,0.29096391965370366,1.801769667793267e-07,0.00021351003315116777,1.5707963096473299,0,0,110
20.002824,3.100000202792434,4.578546767172065,0.2919395940377168,1.9042076421638462e-07,0.00021438021538036105,1.570796309652211,0,0,120
21.002477,3.100000206096567,4.578547048113607,0.2928932757609948,2.0043368651907784e-07,0.0002152307845067595,1.5707963096569828,0,0,129
22.002391,3.1000002094422614,4.578547332589142,0.2938589534803474,2.1057258787489025e-07,0.00021609205428862362,1.5707963096617794,0,0,137
23.001773,3.1000002128087365,4.5785476188323315,0.2948306291975071,2.2077449460292097e-07,0.00021695867527115877,1.5707963096666226,0,217,147
24.002353,3.1000002161197964,4.578547900363953,0.29578631025221563,2.308084988697773e-07,0.00021781103255006157,1.570796309671406,0,457,156
25.001511,3.100000219458564,4.578548184252087,0.29674998863748264,2.4092649999506866e-07,0.00021867052419515475,1.5707963096761952,0,700,166
26.000452,3.100000222818112,4.578548469907536,0.29771966502054986,2.511075069374297e-07,0.00021953536706525344,1.570796309681054,0,943,176
27.000739,3.1000002262122948,4.578548758508377,0.2986993380669041,2.613935040054768e-07,0.00022040912756476235,1.5707963096859796,0,1186,185
28.003422,3.1000002295510622,4.578549042397874,0.29966301645082744,2.715115971042924e-07,0.0002212686242769151,1.5707963096908255,0,1427,195
29.002709,3.1000002328898297,4.578549326287721,0.3006266948343071,2.816297206131742e-07,0.0002221281226653461,1.570796309695664,0,1669,205
30.003085,3.10000023631172,4.57854961724601,0.30161436521027574,2.919997791724792e-07,0.00022300902109331368,1.5707963097005908,0,1913,215
31.000375,3.1000002396712683,4.578549902903667,0.30258404159108554,3.021809406138648e-07,0.00022387387247746522,1.5707963097054374,0,2157,224
32.002304,3.1000002430308164,4.5785501885620965,0.30355371797144626,3.123621328614273e-07,0.0002247387255588531,1.5707963097102855,0,2400,234
33.002877,3.0998164496902314,4.555589686902545,0.23989690838774205,-0.0027234298289642114,0.023416455495167937,1.5739194754294545,0,2645,243
34.002862,3.101101509822976,4.557669274457835,0.23903951145485136,0.00014178221950997586,-0.0008953570571396649,1.5755363547447039,0,2894,251
35.00255,3.1011019572328604,4.557653096310421,0.2390429536030509,0.0001432029069241396,-0.0009914937861777943,1.5755383409311985,0,3143,261
36.002334,3.101102424140701,4.557631239295016,0.23899672593923546,0.00014458636899280415,-0.001012308073920221,1.5755403545108957,0,3394,271
37.000982,3.1011016736913386,4.557671573312702,0.23902173959278478,0.00014215379199193585,-0.0009671593949636459,1.575542405172552,0,3643,281
38.002768,3.101101859506998,4.557663004876541,0.2390309500499079,0.00014260157412051265,-0.0010322459938201785,1.575544365374118,0,3892,291
39.003342,3.101103067818029,4.557677483879166,0.23902557328029472,0.0001477986286653877,-0.0010012966008440833,1.5755463213396188,0,4141,301
40.003254,3.101103177420083,4.55768435494346,0.23902433100464088,0.0001482474902674343,-0.0009833324202553786,1.5755482730628332,0,4391,311
